Timestamp,GSR,HR,GyroX,GyroY,GyroZ
2025-09-13 17:11:40.508682,2641,72,4384,292,15904
2025-09-13 17:11:40.574287,2636,72,4224,292,15876
2025-09-13 17:11:40.640037,2637,72,4320,392,15816
2025-09-13 17:11:40.720952,2642,72,4564,156,15936
2025-09-13 17:11:40.786868,2651,72,4772,292,15828
2025-09-13 17:11:40.851871,2642,72,4600,244,15980
2025-09-13 17:11:40.915868,2648,72,4472,144,15732
2025-09-13 17:11:40.982021,2632,72,4284,268,15932
2025-09-13 17:11:41.048355,2643,72,4420,380,16008
2025-09-13 17:11:41.113178,2653,72,4528,340,15908
2025-09-13 17:11:41.178434,2648,72,4384,272,15868
2025-09-13 17:11:41.243051,2616,72,4196,376,15964
2025-09-13 17:11:41.310971,2643,72,4296,304,15932
2025-09-13 17:11:41.376978,2647,72,4632,256,15868
2025-09-13 17:11:41.441473,2644,72,4768,316,15940
2025-09-13 17:11:41.506473,2641,72,4584,276,15984
2025-09-13 17:11:41.574333,2624,72,4384,296,15800
2025-09-13 17:11:41.639391,2643,72,4496,244,15876
2025-09-13 17:11:41.719662,2655,72,4664,304,15900
2025-09-13 17:11:41.784918,2643,72,4628,368,15896
2025-09-13 17:11:41.849980,2653,72,4348,336,15916
2025-09-13 17:11:41.915326,2641,72,4004,416,16004
2025-09-13 17:11:41.980657,2624,72,4312,392,15888
2025-09-13 17:11:42.047659,2640,72,4688,244,15788
2025-09-13 17:11:42.119877,2642,72,4888,296,15908
2025-09-13 17:11:42.186875,2639,72,4544,156,15988
2025-09-13 17:11:42.257525,2640,72,4296,420,15868
2025-09-13 17:11:42.330228,2652,72,4340,292,15884
2025-09-13 17:11:42.397602,2643,72,4484,336,15968
2025-09-13 17:11:42.469453,2644,72,4500,356,15844
2025-09-13 17:11:42.538372,2653,72,4380,444,15888
2025-09-13 17:11:42.606489,2646,72,4152,276,15956
2025-09-13 17:11:42.688490,2653,72,4440,504,15700
2025-09-13 17:11:42.757285,2624,72,4676,216,16020
2025-09-13 17:11:42.826932,2644,72,4804,224,15908
2025-09-13 17:11:42.898219,2651,72,4584,392,15872
2025-09-13 17:11:42.967225,2643,72,4388,264,15880
2025-09-13 17:11:43.036903,2638,72,4200,384,15896
2025-09-13 17:11:43.108807,2634,72,4180,236,15896
2025-09-13 17:11:43.176808,2655,72,4328,208,15964
2025-09-13 17:11:43.247287,2632,72,4348,188,15916
2025-09-13 17:11:43.319287,2654,72,4396,396,15680
2025-09-13 17:11:43.387501,2642,72,4368,372,16036
2025-09-13 17:11:43.456933,2642,72,4344,400,15964
2025-09-13 17:11:43.527264,2655,72,4224,264,15932
2025-09-13 17:11:43.612086,2641,72,4248,252,15820
2025-09-13 17:11:43.681448,2655,72,4424,372,15900
2025-09-13 17:11:43.749452,2640,72,4264,424,16116
2025-09-13 17:11:43.814381,2643,72,4064,400,15920
2025-09-13 17:11:43.879966,2643,72,4228,456,15936
2025-09-13 17:11:43.944970,2643,72,4076,352,16072
2025-09-13 17:11:44.010945,2684,72,4020,348,15912
2025-09-13 17:11:44.074807,2642,72,4076,404,15848
2025-09-13 17:11:44.140807,2642,72,4128,348,15960
